1214,1690541939608135
1208,1690541939611324
1214,1690541939615603
1214,1690541939620446
1214,1690541939625008
1214,1690541939630601
1214,1690541939632967
1207,1690541939637573
1214,1690541939641200
133,1690541939641207
1081,1690541939644639
266,1690541939644646
948,1690541939648768
399,1690541939648775
815,1690541939651370
532,1690541939651377
681,1690541939655603
666,1690541939655611
547,1690541939657802
796,1690541939657827
415,1690541939658876
928,1690541939658883
283,1690541939659991
1060,1690541939659998
151,1690541939662042
1192,1690541939662050
11,1690541939663335
1211,1690541939663344
106,1690541939663349
1105,1690541939665567
238,1690541939665576
967,1690541939666918
376,1690541939666925
835,1690541939668260
508,1690541939668267
703,1690541939670498
640,1690541939670507
571,1690541939671726
772,1690541939671733
439,1690541939672766
898,1690541939672775
313,1690541939673787
1030,1690541939673794
181,1690541939675923
1162,1690541939675946
49,1690541939678356
1211,1690541939678365
68,1690541939678370
1143,1690541939678411
200,1690541939678417
1011,1690541939679542
332,1690541939679553
879,1690541939680795
464,1690541939680802
747,1690541939681816
596,1690541939681823
615,1690541939683325
728,1690541939683354
483,1690541939684649
860,1690541939684656
351,1690541939685487
992,1690541939685496
219,1690541939686560
900,1690541939686584
213,1690541939686963
87,1690541939687628
1215,1690541939687636
37,1690541939687638
1178,1690541939688700
173,1690541939688709
1042,1690541939688749
309,1690541939688753
895,1690541939689857
457,1690541939689865
758,1690541939690881
593,1690541939690889
622,1690541939692026
729,1690541939692036
105,1690541939692070
370,1690541939692175
865,1690541939692179
350,1690541939693012
1001,1690541939693020
214,1690541939694215
1137,1690541939694223
78,1690541939695332
900,1690541939695339
304,1690541939695632
46,1690541939695635
1169,1690541939695674
182,1690541939695676
1028,1690541939696676
323,1690541939696682
892,1690541939696715
459,1690541939696718
347,1690541939697625
1216,1690541939702544
136,1690541939702555
1079,1690541939702588
1215,1690541939703766
136,1690541939703773
824,1690541939703808
846,1690541939736847
172,1690541939762523
71,1690541939769626
172,1690541939774214
172,1690541939776641
172,1690541939794019
172,1690541939798674
172,1690541939799449
1,1690541939800692
360,1690541939802936
1,1690541939814201
1,1690541939822406
172,1690541939829072
59,1690541939836555
172,1690541939838872
172,1690541939838906
1,1690541939853360
1,1690541939853393
1,1690541939854688
172,1690541939860941
172,1690541939863589
172,1690541939863810
285,1690541939868785
1,1690541939876644
1,1690541939888566
1,1690541939895210
172,1690541939898881
172,1690541939900982
172,1690541939903429
393,1690541939907714
1,1690541939920629
1,1690541939922827
1,1690541939923969
172,1690541939932609
766,1690541939937848
172,1690541939941027
172,1690541939944310
1,1690541939960079
1,1690541939962159
1,1690541939964676
172,1690541939968303
172,1690541939969067
172,1690541939970329
132,1690541939976064
1,1690541939978808
1,1690541939997846
1,1690541940001283
172,1690541940002493
172,1690541940004776
172,1690541940005906
1,1690541940036961
1,1690541940038619
1,1690541940040947
1,1690541940044969
816,1690541940048386
172,1690541940061867
172,1690541940062952
162,1690541940064310
1,1690541940086156
1,1690541940089226
172,1690541940093759
172,1690541940098174
172,1690541940101749
1,1690541940107235
1,1690541940110517
1,1690541940114983
1,1690541940160165
1,1690541940162671
1,1690541940165717
173,1690541940246368
173,1690541940247375
173,1690541940250612
20,1690541940253419
142,1690541940256026
173,1690541940259463
173,1690541940261950
950,1690541940263985
402,1690541940266107
